@relation LabelledPulsarCandidates
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
0.016371836,9348.400397,0,13290,107.6462846,0.07069819,16.19460577,3.400105893,140.004471,2.100648501,44.89809725,548.2271331,47.610603,296.225305,0.046875,10.55843114,0.334084377,0.22250081,253.694894,3.242209323,0.822278549,10.56025281,1
0.016273849,0.010749836,0,14787,117.7430984,2.90E-10,8.909474012,1.604095702,10.32741596,1.604095702,10.32400106,751.6253899,147.218506,149.891891,0.015625,18.54778835,0.380827394,5.709898269,522.1739853,9.563820715,0.84154264,12.42157599,1
0.041541424,58018.35194,0,8945,90.16978067,0.202882103,34.99328971,13.77227722,249.5855637,9.72998784,206.5928779,198.1676285,39.511982,516.893581,0.101562,13.28465809,0.152428358,2.867952567,343.670064,0.360485689,0.754227833,8.635743543,1
2.552013801,261.8106803,3,14532,125.375,0.012239122,0.008696373,1.805881552,1550.343187,1498.898771,2178.574574,1365.206441,1281.659546,476.723981,0.015625,161.473925,0.088966127,7.053278001,239.8423098,19.9665345,0.874996696,12.70978498,1
108.2663349,1.229590102,9,1443,7.778055737,0.972881483,119.0414418,4875.236522,1251.642684,2.693510398,1347.166427,152.0551376,6.176156,96.309083,0.03125,1.109270364,0.513465599,1.50139886,1165.479504,0.382732772,0.009977639,3.656215204,1
2.325315667,475.9294788,2,6585,85.40651525,0.155144735,37.94952945,8157.678326,3158.667544,8157.678326,3168.702886,47.76376717,36.65155,145.999582,0.101562,12.32292802,0.176523824,0.460809786,120.9321166,0.153971303,0.907452407,10.03478839,1
2.325315667,475.9294788,2,6585,85.40651525,0.155144735,37.94952945,8157.678326,3158.667544,8157.678326,3168.702886,47.76376717,36.65155,145.999582,0.101562,12.32292802,0.176523824,0.460809786,120.9321166,0.153971303,0.907452407,10.03478839,1
0.831398899,304.7648764,2,5957,46.04925433,0.345798349,78.48833234,0.002482324,1131.009819,0.023338347,502.114215,89.36370924,14.00918,68.059548,0.03125,2.516123005,0.32664951,0.973026216,739.4512951,8.735091466,0.176033995,4.940275645,1
0.110058844,892.698664,1,13281,107.4573522,0.072913632,17.93281743,3.116840728,51.77358623,3.116840728,46.9143516,635.0597401,57.63139,178.314721,0.03125,10.35090321,0.613099305,1.337643476,675.8325899,0,0.614115481,10.95485262,1
426.0846256,0.437400524,12,1299,8.74091297,0.986260945,114.0745395,4.210452924,1756.343439,4.787135153,1814.946644,21.59394541,6.49282,243.515987,0.046875,1.439889196,0.085102482,0.359938996,480.0100147,5.487317026,0.088454557,4.450786976,1
