@relation PulsarCandidates_2014-04-29T10:22:29.247214
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
7242.27087249,16178.883523,1.0,9401.82007467,96.0565857538,1.2500814263e-09,29.8393369055,1.8142446215,97.5624489819,1.8142446215,91.1484066375,709.067085012,37.5302753615,18.39,0.02,5.36146790878,0.0684569067829,0.0283403161666,2.0996808781,13.7359532356,0.181044507995,13.7604305889,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80014_SAP2_BEAM57_DM18.39_Z0_ACCEL_Cand_1.pfd
2075.63387088,3312.80198668,3.0,3076.65988295,22.8686300698,0.721571802402,79.9383749911,8.93371338772,914.365540528,4.83421745626,933.463780093,384.9224567,11.2520177271,14.0126176515,0.13,4.34953127094,0.415608551535,0.00495115408842,2.0040742548,0.51210332892,0.248769942971,8.95290836914,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80262_SAP1_BEAM2_DM13.92_Z0_ACCEL_Cand_1.pfd
5805.31677309,13253.9035484,1.0,7414.43345476,68.9399406982,0.211093609284,49.8420533021,3.22764697953,309.474280811,3.22764697953,313.275071538,275.024086225,26.2841642251,31.4716316257,0.03,4.6224149834,0.108359842215,0.0223226774738,0.955852188382,0.800610796561,0.213122254905,11.7130277208,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80589_SAP0_BEAM0_DM31.50_Z0_ACCEL_Cand_1.pfd
1489.85812784,31666.274973,0.0,9395.20229563,96.463533285,0.14386358073,30.1322302965,2.58670706517,155.292465984,2.6475551037,128.548597247,458.736663339,35.1764289726,48.7357726632,0.03,6.18623635711,0.473992390049,0.0131624603945,12.7412072367,0.19742972072,0.365483973611,15.4097829055,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80589_SAP2_BEAM38_DM48.72_Z0_ACCEL_Cand_1.pfd
1706.99295025,24944.6611432,0.0,7203.51395934,70.4950436587,0.166652756649,46.2788048715,3.1362950262,268.510015921,3.03299767271,269.004002155,345.584467924,28.5647242132,60.1381188692,0.04,5.8307499138,0.555189428499,0.00110032842166,1.73220490506,5.69065071361,0.202698655082,11.3929111819,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80590_SAP1_BEAM46_DM60.15_Z0_ACCEL_Cand_1.pfd
1459.66040154,36418.5467504,0.0,10630.0555294,111.242181221,0.0569982010178,13.5433922997,3.02451473947,38.7000252684,3.02451473947,35.2680195414,410.861682984,105.538324045,36.18,0.04,21.5429201849,0.585679970732,0.00493977531531,26.3124543996,0.108833625615,0.695638383718,23.0427860888,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80592_SAP0_BEAM5_DM36.18_Z0_ACCEL_Cand_1.pfd
2280.28145373,27491.4855414,0.0,7967.83195744,79.8339342866,0.151744875621,42.5241096942,6551.84249632,1231.13314708,1.00967186611,437.921228226,1138.28629851,33.1830069093,39.7917259061,0.02,4.74042955847,0.161537846318,0.0232559925053,11.6674827106,0.535758375611,0.306411926259,15.9696145771,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81233_SAP1_BEAM11_DM39.87_Z0_ACCEL_Cand_1.pfd
1658.56573381,22997.6111684,0.0,6522.48996726,86.0084423437,0.246841792597,32.0026820612,12.4979545352,464.887721227,7.63849303634,241.5258641,194.636407705,7.08895717734,94.6730871934,0.12,2.61777092534,0.0120854599007,0.00457866924682,0.93652039965,0.10985796467,0.837287186827,20.2856585888,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81234_SAP1_BEAM20_DM94.74_Z0_ACCEL_Cand_1.pfd
2456.18426484,4062.27216339,3.0,4566.99552045,37.5477825507,0.464057272134,78.8633925424,4.90466388205,665.032472788,4.90466388205,728.307408779,618.189936655,14.8404350908,91.6287476088,0.06,3.74937027634,0.486053365854,0.0578462261995,1.4220378735,0.943269285223,0.170691996332,10.3798622754,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81234_SAP1_BEAM2_DM91.65_Z0_ACCEL_Cand_1.pfd
2440.89800001,4902.9552261,2.0,3528.35100775,31.88888252,0.520312705679,91.8405092913,5.62082190794,794.125542643,5.62082190794,882.72110811,226.521645188,13.6789715656,3.14885023686,0.09,4.30183754226,0.274573951209,0.0859656020617,6.56569400777,0.501837223888,0.128644905399,8.28298345455,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81234_SAP1_BEAM57_DM3.18_Z0_ACCEL_Cand_1.pfd
1533.57039222,27754.6662152,0.0,8133.26658765,87.2471988385,0.0370364911883,30.6920268934,5.3840788687,248.743845101,4.33596087771,160.222170498,270.258301706,29.6602211698,61.0221269682,0.06,7.49352367121,0.110308665572,0.0113609173969,3.95710665748,0.130050307332,0.699778480661,19.2120873888,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81234_SAP2_BEAM31_DM61.05_Z0_ACCEL_Cand_1.pfd
2149.5839281,25972.5458321,0.0,7449.81507186,72.0906542916,8.94884921921e-10,52.9338786634,1.72436226197,103.771640166,1.91444150942,108.414273722,2650.36913558,27.9745234446,18.6310936411,0.02,3.99636049208,0.82925390524,0.110858028529,48.1039033167,0.14807229054,0.661817611233,24.5868965113,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81236_SAP1_BEAM6_DM18.54_Z0_ACCEL_Cand_1.pfd
4971.8431331,11101.0413117,1.0,6179.52512426,56.5801301758,0.214519370687,62.024452673,3182.84944146,999.440526686,4.35870889354,581.80208873,1362.80503733,21.6180799264,62.3062985543,0.01,2.17269878193,0.144914486107,0.0330525916196,1.94242334761,14.4979141993,0.128911518074,12.596522037,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81245_SAP1_BEAM44_DM62.40_Z0_ACCEL_Cand_1.pfd
962.187554472,38298.7525563,0.0,11237.6248737,113.366201039,3.9503910843e-09,10.0117916799,1746.60853263,879.065457888,1746.60853263,881.386746851,752.901671544,62.5201079223,66.8358833704,0.02,8.9314439889,0.582969021302,0.0388972307061,31.9460512087,0.184451016314,0.856074149975,28.1955902492,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L81245_SAP2_BEAM0_DM66.81_Z0_ACCEL_Cand_1.pfd
2034.55860915,3909.96237654,3.0,4138.69411508,37.4719838694,0.652736672357,78.1557346939,120.924258391,1906.74227632,4.57575282511,683.639600207,477.233293326,14.0794979141,29.0784584286,0.07,3.86273321054,0.584491254703,0.0680627921446,3.70799631366,0.673689410541,0.0684783977171,8.81073516357,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L83018_SAP1_BEAM6_DM28.98_Z0_ACCEL_Cand_1.pfd
5114.69964321,10013.5722849,1.0,5620.12544038,55.9283385926,0.337158892317,62.6553102318,4171.44401504,1531.34392163,0.00372097992671,539.574187373,477.23836381,21.5945840134,29.1107707857,0.08,6.36789541857,0.573387461672,0.0590225072531,8.58927734611,1.16009706288,0.104971283416,9.36433244632,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L83018_SAP2_BEAM73_DM29.16_Z0_ACCEL_Cand_1.pfd
1175.82774475,34092.0881815,0.0,10033.9422629,99.4569128632,4.03033750701e-11,26.3979493189,26.1908112601,841.584019205,26.1908112601,841.434488949,1273.78128413,36.883215666,12.8562146841,0.02,5.26903080942,0.613442964097,0.0332600507244,40.5941271065,0.210006720323,0.804884630973,27.3639979694,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L83047_SAP0_BEAM0_DM12.90_Z0_ACCEL_Cand_1.pfd
3584.31945002,7136.38845687,2.0,7057.75724793,68.3596357175,0.250957152412,50.2860153799,5.07028348062,522.647922978,5.402726286,485.607433385,694.060610011,18.5432443889,30.2761397886,0.03,3.2610727117,0.0463469429098,0.0316313839944,0.50230804488,0.758282567181,0.163171131097,11.0128446225,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L88293_SAP1_BEAM2_DM30.30_Z0_ACCEL_Cand_1.pfd
6204.84090419,14787.7164577,1.0,8807.84407118,86.3017761405,0.123347867878,33.9117412612,1.78873837092,176.169902152,0.276425973577,764.764791715,396.119070774,19.5942619456,29.2036180019,0.02,2.79918027795,0.194292597386,0.00652546378611,2.09571476258,8.90279892107,0.156748666434,11.5398376935,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L99256_SAP1_BEAM0_DM29.19_Z0_ACCEL_Cand_1.pfd
2743.59875229,41913.4876123,0.0,7422.00919519,73.33269317,0.0448156232972,51.2059519678,3.71770257201,162.244196198,3.71770257201,162.522794663,64.9409298544,28.294219427,33.7566966802,0.04,5.77553335555,0.158541569113,0.00160889373341,1.92994587346,0.467217547111,0.359443106311,14.2490023542,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L99258_SAP0_BEAM1_DM33.75_Z0_ACCEL_Cand_1.pfd
2260.76072743,4287.95371832,3.0,4187.73491511,26.9608164933,0.724336753615,82.2921029456,5.83627659409,1671.07467699,3.17736887795,1003.82307976,1272.2570068,9.6790307653,90.4286369168,0.06,2.44536430592,0.886780998717,0.0746027570129,2.6366681223,0.673602162025,0.0567819926101,8.27203508465,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L99259_SAP1_BEAM5_DM90.21_Z0_ACCEL_Cand_2.pfd
1348.1015514,32000.7098689,0.0,9363.54416773,92.7826461021,0.110561895148,27.8469223612,2.29081391281,199.11381365,0.73898905235,124.988055026,825.938004212,41.6026850578,89.3416129764,0.03,7.316377767,0.309434314699,0.0874663676986,23.5326386058,0.132185923152,0.502364350915,20.0132949689,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L99259_SAP2_BEAM7_DM89.37_Z0_ACCEL_Cand_1.pfd
