@relation LabelledPulsarCandidates
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
61.11281295,2.321297067,8,5614,41.77406475,0.574144817,81.03992495,2.622000397,1081.579136,0.683103861,1322.457106,72.5377899,5.251925,621.858159,0.007812,0.466017953,0.919108432,3.82331559,13074.55727,45.71196051,0.01329474,4.040259564,0
300.4599611,0.387231953,11,-1946,18.47639999,0.939743704,150.5044428,171.8597301,1721.26491,3.304382145,2221.410258,70.97316094,6.018943,170.507695,0.070312,1.65526047,0.281087873,1.14773721,373.1747134,0,0.107288004,4.116268034,0
0.015440678,3938.864931,0,699,18.56165725,0.963491962,106.4769822,40.12890101,576.4183669,37.00593249,193.2577496,3738.150609,69.773834,85.413387,0.328125,48.76048394,0.189871335,15.85497037,24.64058754,0.333772387,0.960818787,10.47767216,0
0.016371836,9348.400397,0,13290,107.6462846,0.07069819,16.19460577,3.400105893,140.004471,2.100648501,44.89809725,548.2271331,47.610603,296.225305,0.046875,10.55843114,0.334084377,0.22250081,253.694894,3.242209323,0.822278549,10.56025281,1
0.016273849,0.010749836,0,14787,117.7430984,2.90E-10,8.909474012,1.604095702,10.32741596,1.604095702,10.32400106,751.6253899,147.218506,149.891891,0.015625,18.54778835,0.380827394,5.709898269,522.1739853,9.563820715,0.84154264,12.42157599,1
0.041541424,58018.35194,0,8945,90.16978067,0.202882103,34.99328971,13.77227722,249.5855637,9.72998784,206.5928779,198.1676285,39.511982,516.893581,0.101562,13.28465809,0.152428358,2.867952567,343.670064,0.360485689,0.754227833,8.635743543,1
2.552013801,261.8106803,3,14532,125.375,0.012239122,0.008696373,1.805881552,1550.343187,1498.898771,2178.574574,1365.206441,1281.659546,476.723981,0.015625,161.473925,0.088966127,7.053278001,239.8423098,19.9665345,0.874996696,12.70978498,1
569.2562322,0.329763869,12,44,2.966662582,0.997867242,130.7734986,24.88532398,2188.566885,54.46214036,2431.393168,0.279170298,7.710793,25.676775,0.5,7.710793,0.226274705,0.033509118,1359.098371,0.459593733,0.346279622,4.4301216,0
0.02034553,0,0,-11249,99.96402795,0.177433894,227.335535,30.87771939,330.7090236,37.87719729,1157.968764,1220.163464,18.658113,-2.84599,0.328125,13.03896557,1.818890914,0.510711483,1137.562985,0.466750586,0.685898762,9.00739757,0
108.2663349,1.229590102,9,1443,7.778055737,0.972881483,119.0414418,4875.236522,1251.642684,2.693510398,1347.166427,152.0551376,6.176156,96.309083,0.03125,1.109270364,0.513465599,1.50139886,1165.479504,0.382732772,0.009977639,3.656215204,1
